1000
Atoms. Timestep: 0
B 4 10 10
B 4 10 12
A 4 10 14
B 4 10 16
B 4 10 18
A 4 12 0
A 4 12 2
B 4 12 4
B 4 12 6
A 4 12 8
A 4 12 10
A 4 12 12
A 4 12 14
B 4 12 16
B 4 12 18
B 4 14 0
B 4 14 2
B 4 14 4
B 4 14 6
B 4 14 8
B 4 14 10
A 4 14 12
A 4 14 14
A 4 14 16
B 4 14 18
A 4 16 0
B 4 16 2
A 4 16 4
A 4 16 6
A 4 16 8
A 4 16 10
B 4 16 12
B 4 16 14
A 4 16 16
A 4 16 18
B 4 18 0
B 4 18 2
A 4 18 4
A 4 18 6
A 4 18 8
A 4 18 10
A 4 18 12
A 4 18 14
B 4 18 16
A 4 18 18
B 6 0 0
B 6 0 2
B 6 0 4
A 6 0 6
B 6 0 8
A 6 0 10
B 6 0 12
A 6 0 14
B 6 0 16
A 6 0 18
B 6 2 0
B 6 2 2
A 6 2 4
A 6 2 6
B 6 2 8
B 6 2 10
A 6 2 12
B 6 2 14
A 6 2 16
B 6 2 18
B 6 4 0
A 6 4 2
A 6 4 4
B 6 4 6
A 6 4 8
A 6 4 10
A 6 4 12
B 6 4 14
A 6 4 16
A 6 4 18
B 6 6 0
B 6 6 2
B 6 6 4
B 6 6 6
A 6 6 8
B 6 6 10
A 6 6 12
A 6 6 14
A 6 6 16
A 6 6 18
A 6 8 0
A 6 8 2
A 6 8 4
A 6 8 6
B 6 8 8
A 6 8 10
B 6 8 12
A 6 8 14
A 6 8 16
B 6 8 18
A 6 10 0
A 6 10 2
B 6 10 4
A 6 10 6
A 6 10 8
A 6 10 10
A 6 10 12
B 6 10 14
A 6 10 16
A 6 10 18
B 6 12 0
A 6 12 2
B 6 12 4
A 6 12 6
B 6 12 8
A 6 12 10
B 6 12 12
A 6 12 14
B 6 12 16
A 6 12 18
A 6 14 0
B 6 14 2
B 6 14 4
A 6 14 6
B 6 14 8
B 6 14 10
A 6 14 12
B 6 14 14
B 6 14 16
B 6 14 18
A 6 16 0
A 6 16 2
B 6 16 4
B 6 16 6
B 6 16 8
B 6 16 10
B 6 16 12
B 6 16 14
A 6 16 16
B 6 16 18
B 6 18 0
A 6 18 2
B 6 18 4
B 6 18 6
A 6 18 8
A 6 18 10
A 6 18 12
A 6 18 14
A 6 18 16
A 6 18 18
B 8 0 0
B 8 0 2
B 8 0 4
A 8 0 6
B 8 0 8
B 8 0 10
B 8 0 12
B 8 0 14
B 8 0 16
A 8 0 18
B 8 2 0
A 8 2 2
A 8 2 4
B 8 2 6
B 8 2 8
B 8 2 10
A 8 2 12
B 8 2 14
B 8 2 16
B 8 2 18
B 8 4 0
B 8 4 2
A 8 4 4
A 8 4 6
A 8 4 8
B 8 4 10
A 8 4 12
B 8 4 14
A 8 4 16
A 8 4 18
B 8 6 0
B 8 6 2
B 8 6 4
A 8 6 6
A 8 6 8
A 8 6 10
A 8 6 12
B 8 6 14
A 8 6 16
A 8 6 18
A 8 8 0
A 8 8 2
A 8 8 4
A 8 8 6
B 8 8 8
A 8 8 10
B 8 8 12
B 8 8 14
A 8 8 16
A 8 8 18
B 8 10 0
B 8 10 2
B 8 10 4
B 8 10 6
A 8 10 8
A 8 10 10
B 8 10 12
A 8 10 14
B 8 10 16
A 8 10 18
B 8 12 0
B 8 12 2
B 8 12 4
A 8 12 6
B 8 12 8
B 8 12 10
B 8 12 12
A 8 12 14
A 8 12 16
B 8 12 18
B 8 14 0
A 8 14 2
A 8 14 4
A 8 14 6
A 8 14 8
A 8 14 10
A 8 14 12
A 8 14 14
A 8 14 16
B 8 14 18
A 8 16 0
B 8 16 2
A 8 16 4
A 8 16 6
A 8 16 8
A 8 16 10
B 8 16 12
A 8 16 14
A 8 16 16
A 8 16 18
A 8 18 0
B 8 18 2
A 8 18 4
B 8 18 6
B 8 18 8
B 8 18 10
B 8 18 12
B 8 18 14
B 8 18 16
B 8 18 18
A 10 0 0
B 10 0 2
A 10 0 4
B 10 0 6
B 10 0 8
A 10 0 10
A 10 0 12
B 10 0 14
B 10 0 16
B 10 0 18
A 10 2 0
B 10 2 2
B 10 2 4
A 10 2 6
B 10 2 8
A 10 2 10
B 10 2 12
A 10 2 14
A 10 2 16
A 10 2 18
B 10 4 0
A 10 4 2
A 10 4 4
B 10 4 6
A 10 4 8
B 10 4 10
A 10 4 12
B 10 4 14
B 10 4 16
A 10 4 18
B 10 6 0
B 10 6 2
B 10 6 4
A 10 6 6
A 10 6 8
A 10 6 10
A 10 6 12
B 10 6 14
A 10 6 16
A 10 6 18
B 10 8 0
A 10 8 2
B 10 8 4
B 10 8 6
A 10 8 8
B 10 8 10
A 10 8 12
B 10 8 14
A 10 8 16
B 10 8 18
B 10 10 0
B 10 10 2
A 10 10 4
B 10 10 6
B 10 10 8
B 10 10 10
A 10 10 12
A 10 10 14
A 10 10 16
B 10 10 18
B 10 12 0
B 10 12 2
B 10 12 4
A 10 12 6
A 10 12 8
A 10 12 10
B 10 12 12
A 10 12 14
B 10 12 16
A 10 12 18
B 10 14 0
A 10 14 2
B 10 14 4
A 10 14 6
B 10 14 8
B 10 14 10
A 10 14 12
B 10 14 14
B 10 14 16
A 10 14 18
B 10 16 0
A 10 16 2
A 10 16 4
B 10 16 6
B 10 16 8
B 10 16 10
A 10 16 12
B 10 16 14
A 10 16 16
B 10 16 18
A 10 18 0
B 10 18 2
B 10 18 4
A 10 18 6
A 10 18 8
A 10 18 10
A 10 18 12
B 10 18 14
B 10 18 16
A 10 18 18
A 12 0 0
A 12 0 2
B 12 0 4
A 12 0 6
B 12 0 8
B 12 0 10
A 12 0 12
B 12 0 14
B 12 0 16
B 12 0 18
A 12 2 0
A 12 2 2
A 12 2 4
A 12 2 6
B 12 2 8
A 12 2 10
B 12 2 12
A 12 2 14
B 12 2 16
A 12 2 18
B 12 4 0
A 12 4 2
A 12 4 4
B 12 4 6
A 12 4 8
B 12 4 10
B 12 4 12
B 12 4 14
B 12 4 16
A 12 4 18
B 12 6 0
A 12 6 2
B 12 6 4
B 12 6 6
A 12 6 8
B 12 6 10
A 12 6 12
A 12 6 14
B 12 6 16
A 12 6 18
B 12 8 0
A 12 8 2
B 12 8 4
B 12 8 6
B 12 8 8
A 12 8 10
A 12 8 12
A 12 8 14
B 12 8 16
B 12 8 18
A 12 10 0
A 12 10 2
A 12 10 4
A 12 10 6
B 12 10 8
B 12 10 10
B 12 10 12
A 12 10 14
B 12 10 16
A 12 10 18
B 12 12 0
B 12 12 2
B 12 12 4
B 12 12 6
B 12 12 8
A 12 12 10
A 12 12 12
A 12 12 14
A 12 12 16
B 12 12 18
B 12 14 0
A 12 14 2
B 12 14 4
A 12 14 6
A 12 14 8
B 12 14 10
B 12 14 12
B 12 14 14
B 12 14 16
A 12 14 18
B 12 16 0
A 12 16 2
A 12 16 4
B 12 16 6
B 12 16 8
A 12 16 10
B 12 16 12
B 12 16 14
A 12 16 16
B 12 16 18
B 12 18 0
A 12 18 2
B 12 18 4
A 12 18 6
B 12 18 8
B 12 18 10
B 12 18 12
A 12 18 14
A 12 18 16
B 12 18 18
A 14 0 0
A 14 0 2
A 14 0 4
B 14 0 6
B 14 0 8
A 14 0 10
B 14 0 12
A 14 0 14
A 14 0 16
B 14 0 18
B 14 2 0
A 14 2 2
A 14 2 4
B 14 2 6
B 14 2 8
A 14 2 10
A 14 2 12
B 14 2 14
B 14 2 16
B 14 2 18
A 14 4 0
A 14 4 2
B 14 4 4
B 14 4 6
A 14 4 8
A 14 4 10
B 14 4 12
B 14 4 14
A 14 4 16
B 14 4 18
B 14 6 0
A 14 6 2
B 14 6 4
B 14 6 6
A 14 6 8
B 14 6 10
A 14 6 12
A 14 6 14
A 14 6 16
A 14 6 18
A 14 8 0
A 14 8 2
A 14 8 4
A 14 8 6
A 14 8 8
B 14 8 10
A 14 8 12
B 14 8 14
B 14 8 16
B 14 8 18
B 14 10 0
A 14 10 2
A 14 10 4
A 14 10 6
A 14 10 8
B 14 10 10
B 14 10 12
A 14 10 14
B 14 10 16
A 14 10 18
B 14 12 0
B 14 12 2
A 14 12 4
B 14 12 6
A 14 12 8
B 14 12 10
A 14 12 12
A 14 12 14
B 14 12 16
A 14 12 18
B 14 14 0
B 14 14 2
B 14 14 4
B 14 14 6
B 14 14 8
A 14 14 10
B 14 14 12
B 14 14 14
B 14 14 16
B 14 14 18
A 14 16 0
B 14 16 2
A 14 16 4
B 14 16 6
B 14 16 8
A 14 16 10
B 14 16 12
B 14 16 14
B 14 16 16
A 14 16 18
A 14 18 0
A 14 18 2
A 14 18 4
B 14 18 6
B 14 18 8
B 14 18 10
A 14 18 12
B 14 18 14
B 14 18 16
A 14 18 18
A 16 0 0
A 16 0 2
B 16 0 4
A 16 0 6
A 16 0 8
A 16 0 10
A 16 0 12
B 16 0 14
A 16 0 16
B 16 0 18
A 16 2 0
A 16 2 2
B 16 2 4
B 16 2 6
B 16 2 8
A 16 2 10
A 16 2 12
B 16 2 14
B 16 2 16
B 16 2 18
B 16 4 0
A 16 4 2
B 16 4 4
A 16 4 6
B 16 4 8
A 16 4 10
B 16 4 12
B 16 4 14
A 16 4 16
A 16 4 18
B 16 6 0
B 16 6 2
B 16 6 4
B 16 6 6
A 16 6 8
B 16 6 10
B 16 6 12
B 16 6 14
A 16 6 16
B 16 6 18
B 16 8 0
A 16 8 2
B 16 8 4
A 16 8 6
B 16 8 8
B 16 8 10
B 16 8 12
B 16 8 14
A 16 8 16
B 16 8 18
B 16 10 0
B 16 10 2
A 16 10 4
A 16 10 6
A 16 10 8
B 16 10 10
A 16 10 12
B 16 10 14
A 16 10 16
A 16 10 18
A 16 12 0
A 16 12 2
A 16 12 4
A 16 12 6
B 16 12 8
B 16 12 10
A 16 12 12
A 16 12 14
A 16 12 16
A 16 12 18
A 16 14 0
A 16 14 2
A 16 14 4
A 16 14 6
B 16 14 8
B 16 14 10
B 16 14 12
A 16 14 14
B 16 14 16
A 16 14 18
A 16 16 0
B 16 16 2
B 16 16 4
A 16 16 6
A 16 16 8
A 16 16 10
A 16 16 12
A 16 16 14
B 16 16 16
B 16 16 18
B 16 18 0
B 16 18 2
B 16 18 4
A 16 18 6
B 16 18 8
B 16 18 10
A 16 18 12
A 16 18 14
B 16 18 16
A 16 18 18
A 18 0 0
B 18 0 2
B 18 0 4
A 18 0 6
A 18 0 8
B 18 0 10
B 18 0 12
A 18 0 14
B 18 0 16
B 18 0 18
B 18 2 0
A 18 2 2
B 18 2 4
B 18 2 6
A 18 2 8
B 18 2 10
A 18 2 12
B 18 2 14
A 18 2 16
B 18 2 18
A 18 4 0
B 18 4 2
A 18 4 4
B 18 4 6
A 18 4 8
B 18 4 10
A 18 4 12
B 18 4 14
B 18 4 16
A 18 4 18
A 18 6 0
A 18 6 2
B 18 6 4
A 18 6 6
A 18 6 8
A 18 6 10
A 18 6 12
A 18 6 14
B 18 6 16
A 18 6 18
A 18 8 0
A 18 8 2
A 18 8 4
B 18 8 6
A 18 8 8
B 18 8 10
A 18 8 12
A 18 8 14
A 18 8 16
A 18 8 18
B 18 10 0
A 18 10 2
A 18 10 4
A 18 10 6
B 18 10 8
B 18 10 10
A 18 10 12
A 18 10 14
A 18 10 16
B 18 10 18
A 18 12 0
B 18 12 2
B 18 12 4
A 18 12 6
B 18 12 8
B 18 12 10
B 18 12 12
B 18 12 14
B 18 12 16
A 18 12 18
A 18 14 0
A 18 14 2
A 18 14 4
B 18 14 6
B 18 14 8
B 18 14 10
B 18 14 12
A 18 14 14
A 18 14 16
A 18 14 18
B 18 16 0
A 18 16 2
A 18 16 4
B 18 16 6
B 18 16 8
A 18 16 10
A 18 16 12
B 18 16 14
B 18 16 16
A 18 16 18
A 18 18 0
A 18 18 2
A 18 18 4
B 18 18 6
A 18 18 8
B 18 18 10
A 18 18 12
B 18 18 14
A 18 18 16
A 18 18 18
1000
Atoms. Timestep: 1
A 19.9999 19.9999 19.9998
B 8.99679e-05 19.9999 1.99989
A 0.000250089 3.00886e-05 4.0002
A 0.00018 19.9998 5.99994
B 3e-05 19.9999 8.0001
A 0.0002 5e-05 10.0001
A 1.00886e-05 19.9999 12.0001
A 7e-05 19.9998 14.0001
B 0.00013 0.00013 15.9999
B 20 19.9999 18
A 0.000180089 1.99976 2e-05
B 0.00017 1.99987 2.00018
A 19.9998 2.00009 4.00003
A 6e-05 1.99979 6.0001
B 0 1.99982 7.99985
B 19.9999 1.99986 9.99994
A 20 2.00009 11.9998
B 19.9999 2.00022 14
B 20 1.99987 16.0002
B 6.99679e-05 1.99979 17.9999
B 19.9999 3.99992 5.99679e-05
A 0.000110089 4.00016 1.99991
B 0.000160032 4.00007 4.00017
B 0 4.00001 5.99979
B 19.9999 4.00004 8.00023
B 19.9999 3.99983 9.99979
B 19.9999 4.00013 12.0001
B 20 3.9999 14.0002
A 19.9998 3.99984 16.0002
B 19.9998 4.00022 18
A 0.000119911 5.99989 3.99114e-05
B 0.000130032 5.99998 2.00017
B 0.00015 6.00019 4.00016
B 4e-05 5.99992 6.00001
B 19.9998 6.0002 7.99994
B 19.9998 6.00003 10
B 19.9999 5.99987 11.9999
B 19.9999 6.00013 14
B 1.99679e-05 6.00017 16.0002
A 19.9998 5.99993 18.0002
B 0.0002 7.99978 19.9999
B 19.9999 7.99981 1.99992
A 19.9999 8.00018 4.00012
A 19.9998 7.99976 6.00023
A 0.00013 8.00024 8.00011
B 0.000119968 7.99995 9.9999
A 0.000189911 8.00012 12
B 6.00321e-05 7.99979 13.9999
B 0.00015 7.99997 16.0001
B 19.9998 8 17.9998
A 19.9999 10.0002 19.9999
A 0.000149911 9.9998 2.00012
A 3e-05 9.99977 3.99976
B 0.00022 9.99999 5.99977
B 0.000229968 9.99986 7.99978
A 19.9998 9.99981 10.0001
A 19.9999 9.99991 12
B 20 10 14.0002
B 20 10.0001 15.9998
A 20 9.99982 17.9999
B 19.9999 11.9999 0.000110032
B 19.9999 12.0001 1.99998
B 19.9998 12.0002 4
A 8e-05 12 5.9999
B 19.9999 11.9999 8.00017
B 2e-05 12.0001 9.99993
A 0.00025 12 12.0002
B 19.9999 11.9999 14.0001
B 19.9999 12 16
A 8e-05 12.0002 18.0002
A 0.000229911 14.0002 0.000129911
B 0.00022 14 2.00025
B 0.0002 13.9999 4.00014
A 20 14.0002 6.00018
B 0.000149968 13.9999 8.00018
B 19.9999 13.9999 10.0001
A 20 13.9998 11.9999
A 0.000169911 14.0001 13.9999
B 9.00321e-05 14 16
A 19.9999 14 18.0001
B 0.00022 16.0002 19.9998
A 19.9998 16 2.00004
A 19.9999 16 3.99996
B 0.000189968 16 6.00013
B 19.9997 15.9999 7.99977
B 0.00014 16 9.99996
A 19.9999 15.9998 12
B 4e-05 16.0001 13.9999
B 19.9999 16.0002 16.0001
A 0.000119911 16.0002 18.0002
A 6.99114e-05 18 0.000190089
A 2e-05 18.0001 2.0001
B 0.000170032 18 4.00015
B 2.99679e-05 17.9999 6.00002
B 3.00321e-05 17.9998 7.99976
B 19.9998 17.9999 10.0002
B 5.00321e-05 17.9999 12.0002
A 3.00886e-05 17.9998 13.9999
B 0.00025 18.0001 16.0002
B 19.9998 18 17.9999
B 2.00008 2.99679e-05 0.00023
A 2.00018 19.9999 2.00002
A 2.00001 19.9999 4.00012
A 2.00019 20 5.99983
A 1.99989 19.9998 7.99999
B 1.99976 20 10.0001
A 1.99996 4.00886e-05 11.9998
A 1.99986 20 14.0002
B 2.00023 20 16.0001
A 1.99985 19.9998 18.0001
A 1.99982 1.99985 20
A 1.99982 1.99983 2.00006
B 2.0002 1.99981 4.00004
B 2.00023 1.99992 6.00013
A 2.00015 2.00022 8.00009
A 1.99996 2.00021 9.99985
A 1.99979 2.0001 12
B 1.99988 1.99976 14
A 1.99997 2.00018 15.9998
A 2.00016 1.99986 18
A 1.99995 4 20
A 1.99999 3.99983 2.00025
B 2 3.9999 3.99987
B 1.99999 4.00015 6.00013
A 1.99984 3.99981 7.9999
A 1.99978 4.00009 9.99981
B 1.99993 4.00013 12.0002
A 2.00011 3.9999 14.0001
A 2.0001 3.99995 15.9998
A 1.99987 3.99991 18.0001
B 2.00007 6.0001 0.000160032
B 1.99993 6.00023 2.00017
B 1.99982 6.00019 3.99998
A 1.99994 6 6.00015
A 1.99981 6.00017 7.99995
A 2.00002 6.00013 9.99988
B 1.99994 6.00015 12.0002
A 2.00021 5.99987 14.0001
A 1.99982 6.00011 16.0001
A 2.00009 6.00025 17.9998
A 1.9998 7.99977 0.000179911
B 1.99982 7.99979 2.00001
A 1.99985 7.99981 4.00002
A 1.99994 7.99978 6.00012
A 2.00019 7.99988 7.99986
A 1.99997 8.00003 10.0001
B 2.00016 8.0002 12
B 1.99991 7.99984 14
A 2.00004 8.00018 16.0001
A 1.9998 7.99988 18.0002
B 2.00017 10.0002 2e-05
B 1.9999 10.0002 1.99984
A 2.00023 10.0001 4.00007
A 1.99992 10.0001 6.0002
A 1.99988 9.99976 7.99995
B 2.00005 10 9.99982
B 2.00001 9.99999 12.0001
A 2.0001 9.99978 14
B 1.99994 10 15.9998
B 1.99996 10 17.9999
B 1.99979 12.0001 4e-05
A 2.00018 12.0002 1.99988
B 1.99983 12 4
A 1.99999 12.0002 6.00016
A 1.99978 12.0001 8.00012
B 1.99996 12.0002 10.0001
B 1.99978 12.0001 11.9998
A 1.99987 12.0002 14.0002
B 1.99987 11.9999 16.0001
A 2.0002 12.0001 18.0002
B 1.99986 13.9999 19.9997
A 1.99991 14.0001 1.99999
A 2.0002 14 3.99998
A 2.00004 13.9999 5.9998
A 1.99989 14 7.99978
B 2.00005 14.0002 10.0001
B 1.99992 14 11.9999
B 2.00002 13.9998 13.9998
B 1.99989 13.9999 15.9999
B 1.99994 13.9999 18.0001
B 1.99988 15.9998 20
B 2.00002 16 2.00024
A 1.99989 16.0001 4.00011
A 1.99985 16 5.99986
B 2.00008 16 8.0002
A 2.00005 16.0002 10.0001
B 2.00014 15.9998 11.9998
B 1.99985 16.0001 13.9999
B 1.99987 16.0002 16.0002
B 2.00025 16 17.9999
B 2.00015 17.9999 2.99679e-05
A 1.99976 18 2.00005
B 1.99987 18.0002 4
A 2.00017 18.0002 5.99981
B 1.99996 17.9998 7.99988
B 1.99989 18.0002 10.0001
B 1.99985 18.0001 12
A 2.00013 18 14.0002
A 2.00018 17.9999 16.0001
B 2.0001 18.0002 17.9999
B 4.0002 20 0.000220032
B 3.9999 5e-05 2.00013
A 3.99999 0.00021 3.99982
B 3.99996 19.9998 5.9998
B 3.99985 19.9999 8.00005
B 3.99983 20 9.99986
A 3.99998 19.9998 12.0002
A 3.99998 19.9998 14.0002
A 4.00001 0.000120089 16.0002
A 4.00014 19.9998 17.9998
A 3.99997 2.00001 2.99114e-05
B 3.99988 2.00019 1.99998
A 4.00021 1.99977 4.00001
A 3.99994 1.99994 5.99979
B 4.00016 1.99989 8.00008
B 3.99997 1.99988 9.99994
A 4.00001 1.9998 12.0001
B 3.99991 1.99987 14.0001
A 4.00005 2.00009 16
A 3.99979 1.99978 18
A 3.99986 3.99981 19.9998
A 4.0001 4.00008 1.99977
B 3.99987 4.00002 4.00014
B 4.00004 4 5.99986
B 3.99994 3.99979 7.99996
A 4.00017 3.99992 9.99984
B 4.00007 4.00001 12.0001
A 3.9999 3.99977 14
A 4.00001 4.00015 16.0002
B 3.99984 4.00012 17.9998
A 4.00012 6.0001 20
B 3.99985 5.99995 1.99992
B 3.99995 6 4.00022
B 3.99986 5.99997 6.00001
A 4.00005 5.99982 7.99994
A 3.99981 5.99977 10
B 4.00016 5.99987 12.0002
A 3.9998 6.00004 14.0002
A 3.99995 5.99994 15.9999
B 4.00007 5.99993 18
A 3.99982 7.99986 0.000159911
B 4.00017 7.99995 1.99993
B 4.00015 8.00006 4.00001
B 3.99999 8.0001 5.9998
B 4.00003 8.00011 8.00018
A 3.99986 8.00023 10.0001
B 4.00022 7.99999 12.0001
B 4.00021 7.99988 13.9999
A 4.00005 8.00019 16
A 4.00016 8.00009 17.9999
A 3.99995 9.99999 19.9999
B 4.00007 10.0002 1.99984
A 4.00022 10.0001 3.99982
B 4.00007 9.99979 5.99986
A 4.00008 10.0001 7.99975
B 4.00006 9.99981 9.99977
B 3.99979 10.0002 12
A 4.00016 9.99989 13.9999
B 4.00015 9.99983 16.0002
B 4.00012 9.9999 17.9999
A 4.00007 11.9998 0.000130089
A 4.00005 11.9998 1.99978
B 3.9999 12.0001 3.99995
B 3.99993 12.0002 6.00002
A 4.00022 12.0002 7.99988
A 4.00013 12.0002 10.0002
A 4.00003 11.9998 12.0001
A 3.99981 12 14.0002
B 3.99998 12.0001 15.9998
B 4.00004 11.9998 18.0001
B 3.99987 14.0001 3e-05
B 4.00019 14 2.00016
B 4.00009 13.9999 4.00021
B 3.99985 13.9998 6.00014
B 3.99976 13.9999 7.99996
B 4.00025 13.9998 9.99987
A 4.00006 14.0002 11.9998
A 3.99983 13.9998 13.9998
A 4.00004 13.9999 16
B 4.00025 13.9998 17.9998
A 3.99978 16.0002 19.9998
B 3.99992 16 2.00019
A 4.00006 16 4.00019
A 4.00016 16.0001 5.99986
A 3.99984 16 8.00021
A 3.99986 15.9999 9.9998
B 4.00019 16.0001 12
B 4.00015 16.0002 14.0001
A 4.0001 16 16.0002
A 4.00013 16.0001 18.0001
B 3.99985 18.0001 0.000210032
B 4.00017 18 1.99981
A 3.99976 17.9999 3.99979
A 3.99994 18 6.0001
A 3.99995 18 8.00004
A 4.00013 18.0002 10.0001
A 3.99999 18 12.0002
A 3.99988 17.9999 14.0002
B 4.00008 18.0002 16.0001
A 4.00016 17.9998 17.9998
B 5.99984 19.9998 19.9999
B 5.99988 19.9998 1.99991
B 5.99998 20 4.00016
A 5.99999 19.9999 6.00003
B 5.99992 0.000100032 8.00003
A 6.00011 19.9999 9.99978
B 6.00017 19.9998 12
A 6.0002 20 14.0001
B 6.00001 19.9999 16
A 5.99982 0.000209911 18
B 6 2.0002 0.0001
B 6.00009 2.00022 1.99999
A 5.99977 1.99994 3.99999
A 5.99995 1.99976 5.99993
B 5.99993 2.00018 7.99995
B 6.00015 1.99995 10.0002
A 5.99988 1.99993 11.9998
B 6 1.99989 14
A 6.00017 1.99977 15.9998
B 5.99991 2.00015 18
B 5.99977 4.00017 0.00018
A 5.9998 3.99997 1.99976
A 6.00025 4.00005 3.99976
B 6.00022 4.00005 6.00016
A 6.00021 3.99986 7.99989
A 6.00007 4.00016 10.0001
A 5.99998 4.0002 11.9999
B 5.99997 3.99983 13.9999
A 6.00018 4.00012 16.0001
A 5.99993 4.00017 17.9998
B 6.00024 5.99992 19.9999
B 6.0002 5.9998 2.00009
B 5.99976 6.00001 3.99986
B 5.99997 6.00001 5.99987
A 5.99991 6.00018 8.00013
B 6.00019 5.99999 10.0001
A 5.99975 6.00016 12.0002
A 5.9999 5.99989 13.9998
A 6.00019 6.00009 15.9999
A 6.00004 5.99989 17.9999
A 6.00013 7.99985 19.9998
A 5.99976 7.99987 1.9999
A 6.0001 7.99994 4.0001
A 5.99987 7.9999 5.99995
B 5.99995 7.99989 8.00018
A 6.0001 8.00003 9.99995
B 5.99985 8.00012 12
A 6.0001 8.00001 14
A 5.99977 7.99992 16
B 5.99999 8.00003 17.9999
A 5.99981 10.0002 0.00015
A 5.99987 10.0001 2.00009
B 5.99979 9.99985 4.00009
A 6.00007 9.9999 6.00011
A 5.99981 10 7.99993
A 5.99978 9.99996 9.99999
A 5.99997 10.0001 12.0002
B 6.00025 10 14.0001
A 6.00015 10.0001 16.0002
A 6.00018 9.99975 17.9998
B 5.99983 11.9998 0.00021
A 5.99997 12.0002 1.99979
B 6.00013 12 4.00004
A 6.00002 12.0002 5.99985
